timestamp,sag_feed_tph,sag_power_kw,ball_power_kw,p80_um,cu_feed_grade_pct,cu_conc_grade_pct,cu_recovery_pct,thick_uf_density,fresh_water_m3h
2024-01-01T00:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-01T01:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-01T02:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-01T03:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-01T04:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-01T05:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-01T06:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
2024-01-01T07:00:00Z,1180,9650,11150,158,0.83,28.3,88.2,65.8,315
2024-01-01T08:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-01T09:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-01T10:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-01T11:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-01T12:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-01T13:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-01T14:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-01T15:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
2024-01-01T16:00:00Z,1180,9650,11150,158,0.83,28.3,88.2,65.8,315
2024-01-01T17:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-01T18:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-01T19:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-01T20:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-01T21:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-01T22:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-01T23:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
2024-01-02T00:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-02T01:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-02T02:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-02T03:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-02T04:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-02T05:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-02T06:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
2024-01-02T07:00:00Z,1180,9650,11150,158,0.83,28.3,88.2,65.8,315
2024-01-02T08:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-02T09:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-02T10:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-02T11:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-02T12:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-02T13:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-02T14:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-02T15:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
2024-01-02T16:00:00Z,1180,9650,11150,158,0.83,28.3,88.2,65.8,315
2024-01-02T17:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-02T18:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-02T19:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-02T20:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-02T21:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-02T22:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-02T23:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
2024-01-03T00:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-03T01:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-03T02:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-03T03:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-03T04:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-03T05:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-03T06:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
2024-01-03T07:00:00Z,1180,9650,11150,158,0.83,28.3,88.2,65.8,315
2024-01-03T08:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-03T09:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-03T10:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-03T11:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-03T12:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-03T13:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-03T14:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-03T15:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
2024-01-03T16:00:00Z,1180,9650,11150,158,0.83,28.3,88.2,65.8,315
2024-01-03T17:00:00Z,1150,9500,11000,150,0.8,28.0,88.5,65.0,300
2024-01-03T18:00:00Z,1160,9550,11050,152,0.81,28.1,88.4,65.2,305
2024-01-03T19:00:00Z,1145,9480,10950,149,0.79,27.9,88.6,64.8,295
2024-01-03T20:00:00Z,1170,9600,11100,155,0.82,28.2,88.3,65.5,310
2024-01-03T21:00:00Z,1155,9520,11020,151,0.8,28.0,88.5,65.1,302
2024-01-03T22:00:00Z,1165,9570,11080,153,0.81,28.1,88.4,65.3,308
2024-01-03T23:00:00Z,1140,9450,10900,148,0.78,27.8,88.7,64.6,290
